1647319573,none,0.904,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.068,0.028,0.904
1647320036,right,0.796,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.132,0.796,0.072
1647320101,right,0.824,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.124,0.824,0.052
1647320166,left,0.7,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.7,0.28,0.02
1647320245,left,0.344,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.344,0.644,0.012
1647320326,none,0.02,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.416,0.564,0.02
1647320401,none,0.104,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.54,0.356,0.104
1647322137,right,0.3,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.692,0.3,0.008
1647322266,left,0.224,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.224,0.732,0.044
1647322463,left,0.752,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.752,0.18,0.068
1647322470,left,0.736,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.736,0.192,0.072
1647322549,none,0.032,C:\Users\wesie\Downloads\BCI-master\new_models\32.88-acc-64x3-batch-norm-0epoch-1647318948-loss-2.52.model,0.476,0.492,0.032
